id_szkoly,egz_norm_sr_hum,egz_norm_std_hum,ewd_min90_hum,ewd_max90_hum,egz_norm_sr_mp,egz_norm_std_mp,ewd_min90_mp,ewd_max90_mp,gwiazdki_pow
14154,96.25,13.87,-3.19,-1.62,95.15,14.02,-4.25,-2.75,3.0
14155,95.93,12.94,-1.54,1.53,95.79,12.8,-0.94,2.0,3.0
14156,98.8,13.39,1.09,3.02,95.17,13.13,-2.43,-0.58,3.0
14157,94.15,14.2,-4.79,-2.35,94.76,14.27,-3.96,-1.63,3.0
14158,100.25,13.91,-0.93,1.41,100.04,13.9,-1.06,1.19,3.0
14159,99.55,13.74,-0.74,1.15,98.09,13.9,-2.18,-0.37,3.0
14160,99.78,13.25,0.6,2.84,96.85,13.14,-1.99,0.15,
14161,90.84,12.91,-3.7,-0.71,92.27,11.74,-1.14,1.96,2.0
14162,91.88,12.7,-3.31,-0.9,90.62,11.79,-4.59,-2.28,2.0
14163,95.04,13.85,-3.82,-1.45,96.49,13.5,-2.26,0.01,3.0
14164,98.55,13.79,-0.31,1.35,95.38,13.73,-3.08,-1.49,3.0
14165,94.19,14.95,-3.33,1.24,95.89,14.83,-2.15,2.24,3.0
14166,96.85,13.26,-3.2,-1.22,95.61,13.2,-4.03,-2.13,3.0
14167,92.37,13.89,-3.08,-1.7,90.24,13.59,-5.01,-3.69,2.0
14168,99.08,13.44,-2.59,-1.39,98.52,13.65,-3.24,-2.08,4.0
14169,90.88,12.51,-2.24,0.34,93.16,12.13,0.13,2.6,2.0
14170,94.74,14.08,-9.53,-7.8,94.77,14.58,-9.77,-8.11,3.0
14171,98.05,12.87,1.7,3.75,97.82,12.9,1.66,3.63,4.0
14172,98.69,13.21,-2.37,-0.54,98.07,13.46,-2.82,-1.06,4.0
14173,94.7,13.42,-3.07,-1.5,92.97,13.15,-4.72,-3.21,3.0
14174,94.98,12.71,0.1,2.57,93.53,12.25,-1.02,1.36,3.0
14175,99.23,14.51,-1.53,0.4,99.65,14.62,-1.19,0.66,4.0
14176,100.52,13.47,-1.88,-0.74,99.9,13.71,-2.42,-1.32,4.0
14177,98.56,13.67,-0.76,0.67,96.58,13.51,-2.81,-1.45,3.0
14179,97.42,14.18,-1.84,0.06,96.94,14.08,-2.2,-0.37,3.0
14181,94.47,14.03,-3.33,-1.91,94.77,14.01,-2.77,-1.41,3.0
14182,91.56,13.27,-2.17,-0.08,89.56,12.65,-4.3,-2.3,2.0
14183,93.69,14.01,-4.86,-3.21,94.59,14.02,-3.8,-2.22,3.0
14184,92.76,12.89,-4.97,-1.85,92.53,12.31,-4.81,-1.82,2.0
14185,93.55,13.77,-1.99,-0.14,93.88,13.3,-1.52,0.25,3.0
14186,94.67,13.74,-3.7,-2.48,95.88,13.64,-2.05,-0.89,3.0
14187,100.55,13.59,-1.51,-0.53,102.36,13.71,0.41,1.34,3.0
14188,92.43,13.33,-3.95,-2.64,92.17,13.01,-4.27,-3.01,2.0
14189,96.6,12.73,-3.29,-1.96,96.21,13.0,-3.37,-2.09,3.0
14190,93.81,13.15,-2.39,-1.38,92.39,12.81,-3.29,-2.33,2.0
14191,110.67,12.09,1.73,3.26,111.01,12.73,1.89,3.36,4.0
14192,108.22,11.19,-0.68,2.16,109.68,11.82,0.55,3.27,4.0
14194,112.12,13.11,3.95,6.19,110.48,13.17,2.47,4.61,4.0
14196,95.42,14.76,-4.58,-2.88,97.04,14.61,-3.17,-1.54,3.0
14197,95.97,13.8,-2.69,-0.41,97.12,13.56,-1.47,0.72,3.0
14198,97.65,14.4,-0.93,0.37,95.95,14.48,-2.51,-1.26,3.0
14199,96.38,14.77,-1.85,-0.56,97.58,14.54,-0.7,0.54,3.0
14200,92.75,13.71,-4.59,-2.71,92.83,13.4,-4.08,-2.27,3.0
14201,99.43,13.76,-1.29,-0.22,97.87,13.9,-2.69,-1.66,3.0
14203,72.83,9.52,-10.31,-6.77,78.23,8.73,-7.08,-3.68,1.0
14204,106.26,11.8,-1.27,2.36,111.27,12.09,3.5,6.97,4.0
14205,96.52,13.49,-1.59,-0.12,94.5,13.37,-3.13,-1.71,3.0
14206,96.67,13.55,-1.15,1.09,97.14,13.57,-0.67,1.48,3.0
14207,93.42,13.89,-3.56,-1.56,92.51,13.62,-4.12,-2.2,2.0
14208,94.24,14.13,-4.81,-2.62,98.62,13.77,0.02,2.12,3.0
14209,94.59,13.57,-3.39,-1.05,97.18,13.59,-0.82,1.43,3.0
14210,94.32,14.29,-3.01,-0.27,95.69,13.56,-1.24,1.39,3.0
14211,110.68,11.17,1.17,3.34,109.84,11.47,-0.35,1.74,5.0
14212,95.21,14.03,-3.21,-2.09,94.62,14.04,-3.65,-2.59,3.0
14213,90.39,14.83,-5.72,-3.75,92.48,14.16,-3.72,-1.83,2.0
14214,96.35,14.24,-0.71,1.48,102.61,14.08,5.58,7.68,3.0
14217,99.95,14.09,0.81,2.09,101.62,13.93,2.13,3.36,4.0
14218,97.8,13.27,-3.69,-2.41,98.56,13.5,-2.67,-1.44,3.0
14219,103.67,13.43,-1.62,-0.51,104.1,13.75,-1.24,-0.18,5.0
14221,96.14,14.02,-1.69,-0.39,94.25,13.9,-3.28,-2.04,2.0
14222,97.88,13.55,-2.44,-0.83,98.58,13.66,-1.64,-0.09,3.0
14224,92.21,13.92,-6.05,-4.32,94.54,13.63,-3.46,-1.8,2.0
14225,95.65,13.63,-4.41,-2.68,100.72,13.72,1.01,2.67,3.0
14226,93.0,13.59,-5.35,-4.03,94.2,13.6,-4.03,-2.76,2.0
14227,98.62,13.88,-2.34,-1.24,97.55,14.13,-3.41,-2.36,3.0
14228,98.6,14.12,-1.99,-0.85,99.13,14.3,-1.47,-0.38,3.0
14230,103.32,13.66,1.4,2.58,101.07,13.7,-0.71,0.42,4.0
14231,99.38,13.95,-2.51,-1.2,98.11,14.07,-3.84,-2.59,3.0
14233,86.24,11.47,-0.98,3.22,86.88,10.82,-2.8,1.23,1.0
14234,97.25,13.13,-1.23,1.12,96.86,12.89,-1.38,0.88,3.0
14235,95.33,12.55,0.7,3.04,94.47,12.02,0.12,2.36,3.0
14236,100.07,13.76,-1.66,-0.43,98.96,13.87,-2.74,-1.57,3.0
14237,98.27,14.45,-0.71,1.36,97.66,14.29,-1.27,0.71,3.0
14238,94.89,13.47,0.03,2.52,91.78,12.57,-2.99,-0.6,2.0
14239,101.85,12.33,2.26,4.36,99.7,12.47,0.57,2.59,4.0
14240,99.68,13.64,-1.82,-0.66,98.75,13.67,-2.39,-1.29,3.0
14241,94.5,13.69,-2.24,-1.01,91.65,13.49,-4.96,-3.78,2.0
14242,94.31,13.87,-5.92,-3.92,95.14,13.68,-4.7,-2.78,3.0
14243,93.74,13.06,-4.7,-3.07,93.72,13.02,-4.38,-2.81,3.0
14244,99.15,13.4,-3.44,-2.43,99.9,13.68,-2.46,-1.49,5.0
14245,94.8,13.71,-4.55,-3.39,95.4,13.63,-3.88,-2.77,3.0
14246,93.21,14.29,-6.56,-5.15,93.64,14.11,-5.82,-4.46,3.0
14248,95.57,13.45,-2.6,-0.91,94.61,13.41,-3.19,-1.57,3.0
14249,91.09,13.01,-4.32,-2.19,92.31,12.55,-3.02,-0.98,3.0
14250,96.1,14.36,-1.53,0.3,101.56,14.38,4.13,5.88,4.0
14251,98.81,14.31,0.79,2.42,96.62,14.05,-1.33,0.23,4.0
14252,75.6,8.77,-5.52,-1.66,83.65,8.4,-0.63,3.07,1.0
14253,94.27,13.44,-2.5,-1.28,94.02,13.21,-2.36,-1.19,3.0
14254,97.27,13.23,-0.8,1.96,96.16,13.31,-1.57,1.07,3.0
14255,91.09,14.14,-0.9,3.11,90.73,13.24,-2.45,1.4,3.0
14256,94.92,13.8,-2.54,-1.05,94.22,13.59,-2.81,-1.37,3.0
14257,95.64,14.46,-3.13,-1.41,95.37,14.16,-2.99,-1.34,2.0
14258,96.49,13.57,-4.59,-2.9,98.21,13.79,-2.81,-1.19,3.0
14259,101.18,13.48,0.63,3.03,98.75,13.48,-2.09,0.22,4.0
14260,93.87,14.12,-4.13,-2.46,96.87,14.11,-1.12,0.49,2.0
14261,99.12,13.92,-3.57,-2.29,99.7,14.2,-2.98,-1.75,4.0
14262,102.79,14.44,0.91,3.18,99.82,14.84,-1.8,0.38,4.0
14263,96.0,13.67,0.06,2.64,97.46,13.35,1.75,4.21,3.0
14264,96.32,13.65,-2.9,-0.59,97.17,13.33,-1.91,0.31,3.0
14267,93.59,13.33,-2.27,-0.52,92.69,13.03,-2.77,-1.09,2.0
14268,106.1,13.3,1.53,2.56,105.51,13.79,0.91,1.89,4.0
14269,97.65,13.17,-0.98,0.34,96.29,13.09,-2.11,-0.84,3.0
14270,93.3,13.32,-2.64,-1.04,89.9,13.0,-5.8,-4.27,3.0
14271,97.18,13.64,-0.52,1.13,95.94,13.43,-1.3,0.28,3.0
14272,81.48,10.02,-5.65,-1.99,83.7,9.26,-5.7,-2.19,1.0
14273,107.81,10.59,1.32,5.07,106.99,11.2,0.08,3.68,4.0
14275,74.53,10.31,-10.3,-7.36,79.75,9.73,-6.75,-3.95,1.0
